"authors","title","doi","journal","habitat","region","scale_name","scale_size_m2","scale_size_km","type_study","sp_sar","richness","n_ind","simpson_diver","shannon_diver","n_rows","scale_type","record"
"Laliberte, Etienne; Lambers, Hans; Norton, David A.; Tylianakis, Jason M.; Huston, Michael A.","A long-term experimental test of the dynamic equilibrium model of species diversity","10.1007/s00442-012-2417-6","OECOLOGIA","grassland","Oceania","quadrat",1,NA,"exp",0,1,5,0.995665777,5.557392448,169,"method_scale","m2"
"Deleglise, Claire; Loucougaray, Gregory; Alard, Didier","Spatial patterns of species and plant traits in response to 20 years of grazing exclusion in subalpine grassland communities","10.1111/j.1654-1103.2011.01277.x","JOURNAL OF VEGETATION SCIENCE","grassland","Europe","quadrat",0.01,NA,"exp",0,0,0.05,0,0,169,"method_scale","m2"
"Lan, Zhichun; Jenerette, G. Darrel; Zhan, Shuxia; Li, Wenhuai; Zheng, Shuxia; Bai, Yongfei","Testing the scaling effects and mechanisms of N-induced biodiversity loss: evidence from a decade-long grassland experiment","10.1111/1365-2745.12395","JOURNAL OF ECOLOGY","grassland","Asia","quadrat",1,NA,"exp",0,1,5,0.995665777,5.557392448,169,"method_scale","m2"
"Lan, Zhichun; Jenerette, G. Darrel; Zhan, Shuxia; Li, Wenhuai; Zheng, Shuxia; Bai, Yongfei","Testing the scaling effects and mechanisms of N-induced biodiversity loss: evidence from a decade-long grassland experiment","10.1111/1365-2745.12395","JOURNAL OF ECOLOGY","grassland","Asia","quadrat",2,NA,"exp",0,2,10,0.495917959,0.689059567,169,"method_scale","m2"
"Lan, Zhichun; Jenerette, G. Darrel; Zhan, Shuxia; Li, Wenhuai; Zheng, Shuxia; Bai, Yongfei","Testing the scaling effects and mechanisms of N-induced biodiversity loss: evidence from a decade-long grassland experiment","10.1111/1365-2745.12395","JOURNAL OF ECOLOGY","grassland","Asia","quadrat",3,NA,"exp",0,2,15,0.186905823,0.334514916,169,"method_scale","m2"
"Lan, Zhichun; Jenerette, G. Darrel; Zhan, Shuxia; Li, Wenhuai; Zheng, Shuxia; Bai, Yongfei","Testing the scaling effects and mechanisms of N-induced biodiversity loss: evidence from a decade-long grassland experiment","10.1111/1365-2745.12395","JOURNAL OF ECOLOGY","grassland","Asia","quadrat",4,NA,"exp",0,2,20,0.467265639,0.660045944,169,"method_scale","m2"
"Lan, Zhichun; Jenerette, G. Darrel; Zhan, Shuxia; Li, Wenhuai; Zheng, Shuxia; Bai, Yongfei","Testing the scaling effects and mechanisms of N-induced biodiversity loss: evidence from a decade-long grassland experiment","10.1111/1365-2745.12395","JOURNAL OF ECOLOGY","grassland","Asia","quadrat",5,NA,"exp",0,2,25,0.486389625,0.679474376,169,"method_scale","m2"
"Lan, Zhichun; Jenerette, G. Darrel; Zhan, Shuxia; Li, Wenhuai; Zheng, Shuxia; Bai, Yongfei","Testing the scaling effects and mechanisms of N-induced biodiversity loss: evidence from a decade-long grassland experiment","10.1111/1365-2745.12395","JOURNAL OF ECOLOGY","grassland","Asia","quadrat",6,NA,"exp",0,3,30,0.523427645,0.815623498,169,"method_scale","m2"
"Lan, Zhichun; Jenerette, G. Darrel; Zhan, Shuxia; Li, Wenhuai; Zheng, Shuxia; Bai, Yongfei","Testing the scaling effects and mechanisms of N-induced biodiversity loss: evidence from a decade-long grassland experiment","10.1111/1365-2745.12395","JOURNAL OF ECOLOGY","grassland","Asia","quadrat",8,NA,"exp",0,3,40,0.568456429,0.946799798,169,"method_scale","m2"
"Lan, Zhichun; Jenerette, G. Darrel; Zhan, Shuxia; Li, Wenhuai; Zheng, Shuxia; Bai, Yongfei","Testing the scaling effects and mechanisms of N-induced biodiversity loss: evidence from a decade-long grassland experiment","10.1111/1365-2745.12395","JOURNAL OF ECOLOGY","grassland","Asia","quadrat",9,NA,"exp",0,3,45,0.453286071,0.79635661,169,"method_scale","m2"
"Lan, Zhichun; Jenerette, G. Darrel; Zhan, Shuxia; Li, Wenhuai; Zheng, Shuxia; Bai, Yongfei","Testing the scaling effects and mechanisms of N-induced biodiversity loss: evidence from a decade-long grassland experiment","10.1111/1365-2745.12395","JOURNAL OF ECOLOGY","grassland","Asia","quadrat",10,NA,"exp",0,3,50,0.633171941,1.049941089,169,"method_scale","m2"
"Lan, Zhichun; Jenerette, G. Darrel; Zhan, Shuxia; Li, Wenhuai; Zheng, Shuxia; Bai, Yongfei","Testing the scaling effects and mechanisms of N-induced biodiversity loss: evidence from a decade-long grassland experiment","10.1111/1365-2745.12395","JOURNAL OF ECOLOGY","grassland","Asia","quadrat",12,NA,"exp",0,4,60,0.683084582,1.266279144,169,"method_scale","m2"
"Lan, Zhichun; Jenerette, G. Darrel; Zhan, Shuxia; Li, Wenhuai; Zheng, Shuxia; Bai, Yongfei","Testing the scaling effects and mechanisms of N-induced biodiversity loss: evidence from a decade-long grassland experiment","10.1111/1365-2745.12395","JOURNAL OF ECOLOGY","grassland","Asia","quadrat",15,NA,"exp",0,4,75,0.705425575,1.286925751,169,"method_scale","m2"
"Lan, Zhichun; Jenerette, G. Darrel; Zhan, Shuxia; Li, Wenhuai; Zheng, Shuxia; Bai, Yongfei","Testing the scaling effects and mechanisms of N-induced biodiversity loss: evidence from a decade-long grassland experiment","10.1111/1365-2745.12395","JOURNAL OF ECOLOGY","grassland","Asia","quadrat",16,NA,"exp",0,4,80,0.349383979,0.672020346,169,"method_scale","m2"
"Lan, Zhichun; Jenerette, G. Darrel; Zhan, Shuxia; Li, Wenhuai; Zheng, Shuxia; Bai, Yongfei","Testing the scaling effects and mechanisms of N-induced biodiversity loss: evidence from a decade-long grassland experiment","10.1111/1365-2745.12395","JOURNAL OF ECOLOGY","grassland","Asia","quadrat",20,NA,"exp",0,4,100,0.668693968,1.23828271,169,"method_scale","m2"
"Lan, Zhichun; Jenerette, G. Darrel; Zhan, Shuxia; Li, Wenhuai; Zheng, Shuxia; Bai, Yongfei","Testing the scaling effects and mechanisms of N-induced biodiversity loss: evidence from a decade-long grassland experiment","10.1111/1365-2745.12395","JOURNAL OF ECOLOGY","grassland","Asia","quadrat",25,NA,"exp",0,5,125,0.720055448,1.427262492,169,"method_scale","m2"
"Ebeling, Anne; Klein, Alexandra-Maria; Schumacher, Jens; Weisser, Wolfgang W.; Tscharntke, Teja","How does plant richness affect pollinator richness and temporal stability of flower visits?","10.1111/j.1600-0706.2008.16819.x","OIKOS","palustrine wetland","Europe","quadrat",0.64,NA,"exp",0,1,3.2,0.995665777,5.557392448,169,"method_scale","m2"
"Collins, SL; Glenn, SM; Briggs, JM","Effect of local and regional processes on plant species richness in tallgrass prairie","10.1034/j.1600-0706.2002.12112.x","OIKOS","palustrine wetland","North America","quadrat",1,NA,"exp",0,1,5,0.995665777,5.557392448,169,"method_scale","m2"
"Collins, SL; Glenn, SM; Briggs, JM","Effect of local and regional processes on plant species richness in tallgrass prairie","10.1034/j.1600-0706.2002.12112.x","OIKOS","palustrine wetland","North America","quadrat",10,NA,"exp",0,3,50,0.466240709,0.812758476,169,"method_scale","m2"
"Villar, Nacho; Siqueira, Tadeu; Zipparro, Valesca; Farah, Fabiano; Schmaedecke, Gabriela; Hortenci, Luana; Brocardo, Carlos Rodrigo; Jordano, Pedro; Galetti, Mauro","The cryptic regulation of diversity by functionally complementary large tropical forest herbivores","10.1111/1365-2745.13257","JOURNAL OF ECOLOGY","forest","South America","regional",1.6e+07,NA,"exp",116,188,8e+07,0.986745559,4.796140499,62,"ecological_scale","m2"
"Freestone, Amy L.","Facilitation drives local abundance and regional distribution of a rare plant in a harsh environment","10.1890/0012-9658(2006)87[2728:FDLAAR]2.0.CO;2","ECOLOGY","palustrine wetland","North America","regional",460000,NA,"exp",77,76,2300000,0.977349837,4.029131758,62,"ecological_scale","m2"
"Valone, TJ; Hoffman, CD","Effects of regional pool size on local diversity in small-scale annual plant communities","10.1046/j.1461-0248.2002.00344.x","ECOLOGY LETTERS","shrubland","North America","regional",50000,NA,"exp",52,43,250000,0.947037633,3.275949094,62,"ecological_scale","m2"
"Collins, SL; Glenn, SM; Briggs, JM","Effect of local and regional processes on plant species richness in tallgrass prairie","10.1034/j.1600-0706.2002.12112.x","OIKOS","palustrine wetland","North America","regional",120000,NA,"exp",62,54,6e+05,0.955307211,3.519048332,62,"ecological_scale","m2"
"Collins, SL; Glenn, SM; Briggs, JM","Effect of local and regional processes on plant species richness in tallgrass prairie","10.1034/j.1600-0706.2002.12112.x","OIKOS","palustrine wetland","North America","regional",1360000,NA,"exp",89,100,6800000,0.980435709,4.26188941,62,"ecological_scale","m2"
"Bahram, Mohammad; Polme, Sergei; Koljalg, Urmas; Zarre, Shahin; Tedersoo, Leho","Regional and local patterns of ectomycorrhizal fungal diversity and community structure along an altitudinal gradient in the Hyrcanian forests of northern Iran","10.1111/j.1469-8137.2011.03927.x","NEW PHYTOLOGIST","forest","Asia","regional",NA,NA,"exp",NA,NA,NA,NA,NA,62,"ecological_scale",NA
"Belote, R. Travis; Sanders, Nathan J.; Jones, Robert H.","Disturbance alters local-regional richness relationships in Appalachian forests","10.1890/08-1908.1","ECOLOGY","forest","North America","regional",20000,NA,"exp",42,34,1e+05,0.946511384,3.237076142,62,"ecological_scale","m2"
"Norghauer, Julian M.; Newbery, David M.","Recruitment limitation after mast-seeding in two African rain forest trees","10.1890/09-0071.1","ECOLOGY","forest","Africa","site",250000,NA,"exp",70,65,1250000,0.974536635,3.882095887,72,"method_scale","m2"
"Fichtner, Andreas; Schnabel, Florian; Bruelheide, Helge; Kunz, Matthias; Mausolf, Katharina; Schuldt, Andreas; Haerdtle, Werner; von Oheimb, Goddert","Neighbourhood diversity mitigates drought impacts on tree growth","10.1111/1365-2745.13353","JOURNAL OF ECOLOGY","forest","Asia","site",266000,NA,"exp",71,66,1330000,0.963946769,3.754995991,72,"method_scale","m2"
"Funk, Jennifer L.; Standish, Rachel J.; Stock, William D.; Valladares, Fernando","Plant functional traits of dominant native and invasive species in mediterranean-climate ecosystems","10.1890/15-0974.1","ECOLOGY","forest","South America","site",NA,NA,"exp",NA,NA,NA,NA,NA,72,"method_scale",NA
"Funk, Jennifer L.; Standish, Rachel J.; Stock, William D.; Valladares, Fernando","Plant functional traits of dominant native and invasive species in mediterranean-climate ecosystems","10.1890/15-0974.1","ECOLOGY","forest","Oceania","site",NA,NA,"exp",NA,NA,NA,NA,NA,72,"method_scale",NA
"Funk, Jennifer L.; Standish, Rachel J.; Stock, William D.; Valladares, Fernando","Plant functional traits of dominant native and invasive species in mediterranean-climate ecosystems","10.1890/15-0974.1","ECOLOGY","forest","Africa","site",NA,NA,"exp",NA,NA,NA,NA,NA,72,"method_scale",NA
"Paschalis, Athanasios; Fatichi, Simone; Zscheischler, Jakob; Ciais, Philippe; Bahn, Michael; Boysen, Lena; Chang, Jinfeng; De Kauwe, Martin; Estiarte, Marc; Goll, Daniel; Hanson, Paul J.; Harper, Anna B.; Hou, Enqing; Kigel, Jaime; Knapp, Alan K.; Larsen, Klaus S.; Li, Wei; Lienert, Sebastian; Luo, Yiqi; Meir, Patrick; Nabel, Julia E. M. S.; Ogaya, Roma; Parolari, Anthony J.; Peng, Changhui; Penuelas, Josep; Pongratz, Julia; Rambal, Serge; Schmidt, Inger K.; Shi, Hao; Sternberg, Marcelo; Tian, Hanqin; Tschumi, Elisabeth; Ukkola, Anna; Vicca, Sara; Viovy, Nicolas; Wang, Ying-Ping; Wang, Zhuonan; Williams, Karina; Wu, Donghai; Zhu, Qiuan","Rainfall manipulation experiments as simulated by terrestrial biosphere models: Where do we stand?","10.1111/gcb.15024","GLOBAL CHANGE BIOLOGY","forest","Asia","site",NA,NA,"exp",NA,NA,NA,NA,NA,72,"method_scale",NA
"Lachmuth, Susanne; Henrichmann, Colette; Horn, Juliane; Pagel, Joern; Schurr, Frank M.","Neighbourhood effects on plant reproduction: An experimental-analytical framework and its application to the invasive Senecio inaequidens","10.1111/1365-2745.12816","JOURNAL OF ECOLOGY","grassland","Europe","site",30450,NA,"exp",47,38,152250,0.96377163,3.452607024,72,"method_scale","m2"
"Guittar, John; Goldberg, Deborah; Klanderud, Kari; Berge, Astrid; Ramirez Boixaderas, Marta; Meineri, Eric; Topper, Joachim; Vandvik, Vigdis","Quantifying the roles of seed dispersal, filtering, and climate on regional patterns of grassland biodiversity","10.1002/ecy.3061","ECOLOGY","grassland","Europe","site",0.41,NA,"exp",0,0,2.05,0,0,72,"method_scale","m2"
"Funk, Jennifer L.; Standish, Rachel J.; Stock, William D.; Valladares, Fernando","Plant functional traits of dominant native and invasive species in mediterranean-climate ecosystems","10.1890/15-0974.1","ECOLOGY","grassland","North America","site",NA,NA,"exp",NA,NA,NA,NA,NA,72,"method_scale",NA
"Funk, Jennifer L.; Standish, Rachel J.; Stock, William D.; Valladares, Fernando","Plant functional traits of dominant native and invasive species in mediterranean-climate ecosystems","10.1890/15-0974.1","ECOLOGY","grassland","Europe","site",NA,NA,"exp",NA,NA,NA,NA,NA,72,"method_scale",NA
"Lindborg, Regina","Evaluating the distribution of plant life-history traits in relation to current and historical landscape configurations","10.1111/j.1365-2745.2007.01232.x","JOURNAL OF ECOLOGY","grassland","Europe","site",30000,NA,"exp",47,37,150000,0.949430823,3.25790627,72,"method_scale","m2"
"Lindborg, Regina","Evaluating the distribution of plant life-history traits in relation to current and historical landscape configurations","10.1111/j.1365-2745.2007.01232.x","JOURNAL OF ECOLOGY","grassland","Europe","site",250000,NA,"exp",70,65,1250000,0.965275768,3.781469968,72,"method_scale","m2"
"Okullo, Paul; Moe, Stein R.","Large herbivores maintain termite-caused differences in herbaceous species diversity patterns","10.1890/11-2011.1","ECOLOGY","grassland","Africa","site",2.6e+08,NA,"exp",146,379,1.3e+09,0.995182712,5.613908502,72,"method_scale","m2"
"Okullo, Paul; Moe, Stein R.","Large herbivores maintain termite-caused differences in herbaceous species diversity patterns","10.1890/11-2011.1","ECOLOGY","grassland","Africa","site",2.6e+08,NA,"exp",146,379,1.3e+09,0.99495938,5.596639838,72,"method_scale","m2"
"Paschalis, Athanasios; Fatichi, Simone; Zscheischler, Jakob; Ciais, Philippe; Bahn, Michael; Boysen, Lena; Chang, Jinfeng; De Kauwe, Martin; Estiarte, Marc; Goll, Daniel; Hanson, Paul J.; Harper, Anna B.; Hou, Enqing; Kigel, Jaime; Knapp, Alan K.; Larsen, Klaus S.; Li, Wei; Lienert, Sebastian; Luo, Yiqi; Meir, Patrick; Nabel, Julia E. M. S.; Ogaya, Roma; Parolari, Anthony J.; Peng, Changhui; Penuelas, Josep; Pongratz, Julia; Rambal, Serge; Schmidt, Inger K.; Shi, Hao; Sternberg, Marcelo; Tian, Hanqin; Tschumi, Elisabeth; Ukkola, Anna; Vicca, Sara; Viovy, Nicolas; Wang, Ying-Ping; Wang, Zhuonan; Williams, Karina; Wu, Donghai; Zhu, Qiuan","Rainfall manipulation experiments as simulated by terrestrial biosphere models: Where do we stand?","10.1111/gcb.15024","GLOBAL CHANGE BIOLOGY","multiple","Europe","site",NA,NA,"exp",NA,NA,NA,NA,NA,72,"method_scale",NA
"Paschalis, Athanasios; Fatichi, Simone; Zscheischler, Jakob; Ciais, Philippe; Bahn, Michael; Boysen, Lena; Chang, Jinfeng; De Kauwe, Martin; Estiarte, Marc; Goll, Daniel; Hanson, Paul J.; Harper, Anna B.; Hou, Enqing; Kigel, Jaime; Knapp, Alan K.; Larsen, Klaus S.; Li, Wei; Lienert, Sebastian; Luo, Yiqi; Meir, Patrick; Nabel, Julia E. M. S.; Ogaya, Roma; Parolari, Anthony J.; Peng, Changhui; Penuelas, Josep; Pongratz, Julia; Rambal, Serge; Schmidt, Inger K.; Shi, Hao; Sternberg, Marcelo; Tian, Hanqin; Tschumi, Elisabeth; Ukkola, Anna; Vicca, Sara; Viovy, Nicolas; Wang, Ying-Ping; Wang, Zhuonan; Williams, Karina; Wu, Donghai; Zhu, Qiuan","Rainfall manipulation experiments as simulated by terrestrial biosphere models: Where do we stand?","10.1111/gcb.15024","GLOBAL CHANGE BIOLOGY","multiple","North America","site",NA,NA,"exp",NA,NA,NA,NA,NA,72,"method_scale",NA
"Weed, Aaron S.; Schwarzlaender, Mark","Density dependence, precipitation and biological control agent herbivory influence landscape-scale dynamics of the invasive Eurasian plant Linaria dalmatica","10.1111/1365-2664.12226","JOURNAL OF APPLIED ECOLOGY","multiple","North America","site",NA,NA,"exp",NA,NA,NA,NA,NA,72,"method_scale",NA
"Gunnarsson, Urban; Soderstrom, Lars","Can artificial introductions of diaspore fragments work as a conservation tool for maintaining populations of the rare peatmoss Sphagnum angermanicum?","10.1016/j.biocon.2006.10.014","BIOLOGICAL CONSERVATION","palustrine wetland","Europe","site",NA,NA,"exp",NA,NA,NA,NA,NA,72,"method_scale",NA
"Funk, Jennifer L.; Standish, Rachel J.; Stock, William D.; Valladares, Fernando","Plant functional traits of dominant native and invasive species in mediterranean-climate ecosystems","10.1890/15-0974.1","ECOLOGY","shrubland","North America","site",NA,NA,"exp",NA,NA,NA,NA,NA,72,"method_scale",NA
"Funk, Jennifer L.; Standish, Rachel J.; Stock, William D.; Valladares, Fernando","Plant functional traits of dominant native and invasive species in mediterranean-climate ecosystems","10.1890/15-0974.1","ECOLOGY","shrubland","Africa","site",NA,NA,"exp",NA,NA,NA,NA,NA,72,"method_scale",NA
"Jacquemyn, H; Brys, R; Hermy, M","Short-term effects of different management regimes on the response of calcareous grassland vegetation to increased nitrogen","10.1016/S0006-3207(02)00256-2","BIOLOGICAL CONSERVATION","grassland","Europe","site",240,NA,"exp",0,10,1200,0.802300528,1.936845709,72,"method_scale","m2"
"Landsberg, J; James, CD; Maconochie, J; Nicholls, AO; Stol, J; Tynan, R","Scale-related effects of grazing on native plant communities in an arid rangeland region of South Australia","10.1046/j.1365-2664.2002.00719.x","JOURNAL OF APPLIED ECOLOGY","shrubland","Oceania","site",5e+05,NA,"exp",78,78,2500000,0.976499279,4.030502892,72,"method_scale","m2"
"Maron, John L.; Klironomos, John; Waller, Lauren; Callaway, Ragan M.","Invasive plants escape from suppressive soil biota at regional scales","10.1111/1365-2745.12172","JOURNAL OF ECOLOGY","grassland","North America","site",NA,5000,"exp",NA,NA,NA,NA,NA,72,"method_scale","km"
"MacLeod, Molly; Reilly, James; Cariveau, Daniel P.; Genung, Mark A.; Roswell, Michael; Gibbs, Jason; Winfree, Rachael","How much do rare and crop-pollinating bees overlap in identity and flower preferences?","10.1111/1365-2664.13543","JOURNAL OF APPLIED ECOLOGY","grassland","North America","transect",80,NA,"exp",0,7,400,0.758396453,1.636504698,38,"method_scale","m2"
"McGlone, Christopher M.; Springer, Judith D.; Laughlin, Daniel C.","Can pine forest restoration promote a diverse and abundant understory and simultaneously resist nonnative invasion?","10.1016/j.foreco.2009.09.024","FOREST ECOLOGY AND MANAGEMENT","forest","North America","transect",500,NA,"exp",2,12,2500,0.878723568,2.276460965,38,"method_scale","m2"
"McGlone, Christopher M.; Springer, Judith D.; Laughlin, Daniel C.","Can pine forest restoration promote a diverse and abundant understory and simultaneously resist nonnative invasion?","10.1016/j.foreco.2009.09.024","FOREST ECOLOGY AND MANAGEMENT","forest","North America","transect",NA,0.05,"exp",NA,NA,NA,NA,NA,38,"method_scale","km"
"Landsberg, J; James, CD; Maconochie, J; Nicholls, AO; Stol, J; Tynan, R","Scale-related effects of grazing on native plant communities in an arid rangeland region of South Australia","10.1046/j.1365-2664.2002.00719.x","JOURNAL OF APPLIED ECOLOGY","shrubland","Oceania","transect",NA,NA,"exp",NA,NA,NA,NA,NA,38,"method_scale",NA
"Moegenburg, SM; Levey, DJ","Do frugivores respond to fruit harvest? An experimental study of short-term responses","10.1890/02-0063","ECOLOGY","forest","South America","transect",NA,0.1,"exp",NA,NA,NA,NA,NA,38,"method_scale","km"
"Moegenburg, SM; Levey, DJ","Do frugivores respond to fruit harvest? An experimental study of short-term responses","10.1890/02-0063","ECOLOGY","forest","South America","transect",NA,0.075,"exp",NA,NA,NA,NA,NA,38,"method_scale","km"
"Hudson, Jacob R.; Hanula, James L.; Horn, Scott","Impacts of removing Chinese privet from riparian forests on plant communities and tree growth five years later","10.1016/j.foreco.2014.04.013","FOREST ECOLOGY AND MANAGEMENT","forest","Europe","transect",NA,NA,"exp",NA,NA,NA,NA,NA,38,"method_scale",NA
"de Bello, F.; Leps, J.; Sebastia, Maria-Teresa","Grazing effects on the species-area relationship: Variation along a climatic gradient in NE Spain","10.1658/1100-9233(2007)18[25:GEOTSR]2.0.CO;2","JOURNAL OF VEGETATION SCIENCE","grassland","Europe","transect",NA,0.01,"exp",NA,NA,NA,NA,NA,38,"method_scale","km"
"Michael, Damian R.; Wood, Jeffrey T.; Crane, Mason; Montague-Drake, Rebecca; Lindenmayer, David B.","How effective are agri- environment schemes for protecting and improving herpetofaunal diversity in Australian endangered woodland ecosystems?","10.1111/1365-2664.12215","JOURNAL OF APPLIED ECOLOGY","forest","Oceania","transect",NA,0.05,"exp",NA,NA,NA,NA,NA,38,"method_scale","km"
"Coverdale, Tyler C.; Kartzinel, Tyler R.; Grabowski, Kathryn L.; Shriver, Robert K.; Hassan, Abdikadir A.; Goheen, Jacob R.; Palmer, Todd M.; Pringle, Robert M.","Elephants in the understory: opposing direct and indirect effects of consumption and ecosystem engineering by megaherbivores","10.1002/ecy.1557","ECOLOGY","grassland","Africa","transect",NA,22,"exp",NA,NA,NA,NA,NA,38,"method_scale","km"
"Coverdale, Tyler C.; Kartzinel, Tyler R.; Grabowski, Kathryn L.; Shriver, Robert K.; Hassan, Abdikadir A.; Goheen, Jacob R.; Palmer, Todd M.; Pringle, Robert M.","Elephants in the understory: opposing direct and indirect effects of consumption and ecosystem engineering by megaherbivores","10.1002/ecy.1557","ECOLOGY","grassland","Africa","transect",300,NA,"exp",0,10,1500,0.863693138,2.11213171,38,"method_scale","m2"
"Laliberte, Etienne; Lambers, Hans; Norton, David A.; Tylianakis, Jason M.; Huston, Michael A.","A long-term experimental test of the dynamic equilibrium model of species diversity","10.1007/s00442-012-2417-6","OECOLOGIA","grassland","Oceania","transect",NA,NA,"exp",NA,NA,NA,NA,NA,38,"method_scale",NA
"Deleglise, Claire; Loucougaray, Gregory; Alard, Didier","Spatial patterns of species and plant traits in response to 20 years of grazing exclusion in subalpine grassland communities","10.1111/j.1654-1103.2011.01277.x","JOURNAL OF VEGETATION SCIENCE","grassland","Europe","transect",NA,0.01,"exp",NA,NA,NA,NA,NA,38,"method_scale","km"
"Collins, SL; Glenn, SM; Briggs, JM","Effect of local and regional processes on plant species richness in tallgrass prairie","10.1034/j.1600-0706.2002.12112.x","OIKOS","palustrine wetland","North America","transect",NA,0.05,"exp",NA,NA,NA,NA,NA,38,"method_scale","km"
"Mittelbach, GG; Steiner, CF; Scheiner, SM; Gross, KL; Reynolds, HL; Waide, RB; Willig, MR; Dodson, SI; Gough, L","What is the observed relationship between species richness and productivity?","","ECOLOGY","multiple",NA,"landscape",NA,20,"meta",NA,NA,NA,NA,NA,84,"ecological_scale","km"
"Mittelbach, GG; Steiner, CF; Scheiner, SM; Gross, KL; Reynolds, HL; Waide, RB; Willig, MR; Dodson, SI; Gough, L","What is the observed relationship between species richness and productivity?","","ECOLOGY","multiple",NA,"landscape",NA,200,"meta",NA,NA,NA,NA,NA,84,"ecological_scale","km"
"Mittelbach, GG; Steiner, CF; Scheiner, SM; Gross, KL; Reynolds, HL; Waide, RB; Willig, MR; Dodson, SI; Gough, L","What is the observed relationship between species richness and productivity?","","ECOLOGY","multiple",NA,"local",NA,0,"meta",NA,NA,NA,NA,NA,78,"ecological_scale",NA
"Mittelbach, GG; Steiner, CF; Scheiner, SM; Gross, KL; Reynolds, HL; Waide, RB; Willig, MR; Dodson, SI; Gough, L","What is the observed relationship between species richness and productivity?","","ECOLOGY","multiple",NA,"local",NA,20,"meta",NA,NA,NA,NA,NA,78,"ecological_scale","km"
"Ordonez, Alejandro","Functional and phylogenetic similarity of alien plants to co-occurring natives","10.1890/13-1002.1","ECOLOGY","multiple",NA,"local",5e+06,NA,"meta",103,140,2.5e+07,0.986187179,4.607939427,78,"ecological_scale","m2"
"Ordonez, Alejandro","Functional and phylogenetic similarity of alien plants to co-occurring natives","10.1890/13-1002.1","ECOLOGY","multiple",NA,"local",1e+08,NA,"meta",136,298,5e+08,0.993455438,5.34534606,78,"ecological_scale","m2"
"Hallett, Lauren M.; Hsu, Joanna S.; Cleland, Elsa E.; Collins, Scott L.; Dickson, Timothy L.; Farrer, Emily C.; Gherardi, Laureano A.; Gross, Katherine L.; Hobbs, Richard J.; Turnbull, Laura; Suding, Katharine N.","Biotic mechanisms of community stability shift along a precipitation gradient","10.1890/13-0895.1","ECOLOGY","grassland","North America","plot",1,NA,"meta",0,1,5,0.995665777,5.557392448,390,"method_scale","m2"
"Wilson, J. Bastow","Species presence/absence sometimes represents a plant community as well as species abundances do, or better","10.1111/j.1654-1103.2012.01430.x","JOURNAL OF VEGETATION SCIENCE","grassland","Oceania","quadrat",1000,NA,"meta",9,15,5000,0.852676554,2.298939569,169,"method_scale","m2"
"Wilson, J. Bastow","Species presence/absence sometimes represents a plant community as well as species abundances do, or better","10.1111/j.1654-1103.2012.01430.x","JOURNAL OF VEGETATION SCIENCE","grassland","Oceania","quadrat",0.01,NA,"meta",0,0,0.05,0,0,169,"method_scale","m2"
"Wilson, J. Bastow","Species presence/absence sometimes represents a plant community as well as species abundances do, or better","10.1111/j.1654-1103.2012.01430.x","JOURNAL OF VEGETATION SCIENCE","grassland","Oceania","quadrat",0.25,NA,"meta",0,0,1.25,0,0,169,"method_scale","m2"
"Wilson, J. Bastow","Species presence/absence sometimes represents a plant community as well as species abundances do, or better","10.1111/j.1654-1103.2012.01430.x","JOURNAL OF VEGETATION SCIENCE","grassland","Oceania","quadrat",25,NA,"meta",0,5,125,0.635251568,1.255432396,169,"method_scale","m2"
"Wilson, J. Bastow","Species presence/absence sometimes represents a plant community as well as species abundances do, or better","10.1111/j.1654-1103.2012.01430.x","JOURNAL OF VEGETATION SCIENCE","grassland","Oceania","quadrat",0.7854,NA,"meta",0,1,3.927,0.995665777,5.557392448,169,"method_scale","m2"
"Wilson, J. Bastow","Species presence/absence sometimes represents a plant community as well as species abundances do, or better","10.1111/j.1654-1103.2012.01430.x","JOURNAL OF VEGETATION SCIENCE","grassland","Oceania","quadrat",3,NA,"meta",0,2,15,0.47507581,0.668011677,169,"method_scale","m2"
"Mittelbach, GG; Steiner, CF; Scheiner, SM; Gross, KL; Reynolds, HL; Waide, RB; Willig, MR; Dodson, SI; Gough, L","What is the observed relationship between species richness and productivity?","","ECOLOGY","multiple",NA,"regional",NA,200,"meta",NA,NA,NA,NA,NA,62,"ecological_scale","km"
"Mittelbach, GG; Steiner, CF; Scheiner, SM; Gross, KL; Reynolds, HL; Waide, RB; Willig, MR; Dodson, SI; Gough, L","What is the observed relationship between species richness and productivity?","","ECOLOGY","multiple",NA,"regional",NA,4000,"meta",NA,NA,NA,NA,NA,62,"ecological_scale","km"
"Hallett, Lauren M.; Hsu, Joanna S.; Cleland, Elsa E.; Collins, Scott L.; Dickson, Timothy L.; Farrer, Emily C.; Gherardi, Laureano A.; Gross, Katherine L.; Hobbs, Richard J.; Turnbull, Laura; Suding, Katharine N.","Biotic mechanisms of community stability shift along a precipitation gradient","10.1890/13-0895.1","ECOLOGY","grassland","North America","site",NA,NA,"meta",NA,NA,NA,NA,NA,72,"method_scale",NA
"Okland, B; Gotmark, F; Norden, B; Franc, N; Kurina, O; Polevoi, A","Regional diversity of mycetophilids (Diptera : Sciaroidea) in Scandinavian oak-dominated forests","10.1016/j.biocon.2004.04.005","BIOLOGICAL CONSERVATION","forest","Europe","area",4.2e+10,NA,"obs",202,1356,2.1e+11,0.998364364,6.83129858,7,"ecological_scale","m2"
